web_scraper_order,web_scraper_start_url,pagination,vet,data,kcal,vezels,lijn,€dag,fosfor,eiwit,ca:p,shop,merk,merk2,intact,castraat,ingr3,sensitive,smaak,graanvrij2,bio2,large,image,ingr,ingr2,bio,graanvrij,fosfor2
1773260605-1,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,27%,3.50,4.4%,Adult – Bountiful Catch,€ 0.65,401,34%,1.4,Medpets,Acana,Acana,3,4,2,4,–,N,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-2,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,28%,3.53,4.4%,Adult – Homestead Harvest,€ 0.65,340,34%,1.5,Medpets,Acana,Acana,2,3,1,3,–,N,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-3,https://leden.catmoneo.nl/adults-brok2508ldhn/,,36%,25%,3.33,6.7%,Adult – Indoor Entrée,€ 0.67,301,39%,1.4,Medpets,Acana,Acana,3,2,1,3,–,N,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-4,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,22%,3.63,3.3%,Regionals – Grasslands,€ 0.88,358,36%,1.5,Medpets,Acana,Acana,2,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-5,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,22%,3.63,3.3%,Regionals – Pacifica,€ 0.87,248,36%,1.3,Medpets,Acana,Acana,1,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-6,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,22%,3.63,3.3%,Regionals – Wild Prairie,€ 0.86,331,36%,1.3,Medpets,Acana,Acana,2,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-7,https://leden.catmoneo.nl/adults-brok2508ldhn/,,35%,31%,3.61,2.6%,Adult (1-10 jaar) (active defense),€ 0.45,NB,34%,NB,Zooplus,Advance (Affinity),Advance (Affinity),3,5,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-8,https://leden.catmoneo.nl/adults-brok2508ldhn/,,28%,33%,3.31,4.6%,Adult (1-10 jaar) Sterilised,€ 0.74,NB,39%,NB,Zooplus,Advance (Affinity),Advance (Affinity),4,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-9,https://leden.catmoneo.nl/adults-brok2508ldhn/,,31%,30%,3.28,6.7%,Hairball (sterilised),€ 0.79,NB,38%,NB,Zooplus,Advance (Affinity),Advance (Affinity),4,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-10,https://leden.catmoneo.nl/adults-brok2508ldhn/,,37%,28%,3.65,1.7%,Sensitive (non-sterilised),€ 0.45,NB,34%,NB,Zooplus,Advance (Affinity),Advance (Affinity),3,4,3,4,–,N,N,N,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-11,https://leden.catmoneo.nl/adults-brok2508ldhn/,,30%,32%,3.37,4.4%,Sensitive (sterilised),€ 0.68,NB,37%,NB,Zooplus,Advance (Affinity),Advance (Affinity),4,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-12,https://leden.catmoneo.nl/adults-brok2508ldhn/,,25%,41%,3.23,3.8%,HFC – Sterilized – Adult,€ 0.79,248,34%,1.1,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Kabeljauw,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-13,https://leden.catmoneo.nl/adults-brok2508ldhn/,,33%,35%,3.49,3.5%,HFC – Sterilized – Adult,€ 0.68,230,32%,1.1,Zooplus,Almo Nature,Almo Nature,2,3,3,4,Kip,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-14,https://leden.catmoneo.nl/adults-brok2508ldhn/,,27%,39%,3.30,3.6%,HFC – Sterilized – Adult,€ 0.75,243,34%,1.1,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Rund,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-15,https://leden.catmoneo.nl/adults-brok2508ldhn/,,30%,38%,3.44,3.2%,HFC – Sterilized – Adult,€ 0.69,291,33%,1.1,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-16,https://leden.catmoneo.nl/adults-brok2508ldhn/,,40%,30%,3.65,3.1%,Holistic Anti-Hairball,€ 0.42,329,31%,1.3,Zooplus,Almo Nature,Almo Nature,2,4,3,3,Kip,N,N,N,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-17,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,32%,3.77,2.7%,Holistic Anti-Hairball,€ 0.43,318,28%,1.4,Zooplus,Almo Nature,Almo Nature,4,4,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-18,https://leden.catmoneo.nl/adults-brok2508ldhn/,,34%,35%,3.52,2.5%,Holistic Intestinal Help,€ 0.45,284,31%,1.6,Zooplus,Almo Nature,Almo Nature,2,3,3,3,Lam,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-19,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,32%,3.77,1.6%,Holistic Maintenance,€ 0.35,159,28%,1.5,Zooplus,Almo Nature,Almo Nature,4,4,3,4,Kalkoen,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-20,https://leden.catmoneo.nl/adults-brok2508ldhn/,,37%,33%,3.68,1.6%,Holistic Maintenance,€ 0.32,299,30%,1.4,Zooplus,Almo Nature,Almo Nature,2,4,3,4,Kip,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-21,https://leden.catmoneo.nl/adults-brok2508ldhn/,,35%,35%,3.62,1.6%,Holistic Maintenance,€ 0.63,304,30%,1.5,PetsPlace,Almo Nature,Almo Nature,3,4,3,4,Rund,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-22,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,30%,3.69,1.6%,Holistic Maintenance,€ 0.36,299,30%,1.3,Zooplus,Almo Nature,Almo Nature,2,4,3,4,Vette vis,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-23,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,30%,3.67,2.7%,Holistic Sterilised,€ 0.42,300,31%,1.5,Zooplus,Almo Nature,Almo Nature,2,4,3,3,Rund,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-24,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,32%,3.71,2.2%,Holistic Sterilised,€ 0.41,269,29%,1.5,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-25,https://leden.catmoneo.nl/adults-brok2508ldhn/,,23%,44%,3.27,2.8%,Balance,€ 0.70,275,32%,1.1,Alsa Nature,Alsa-Nature,Alsa-Nature,3,4,2,5,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-26,https://leden.catmoneo.nl/adults-brok2508ldhn/,,33%,35%,3.48,2.8%,Basic,€ 0.65,317,32%,1.1,Alsa Nature,Alsa-Nature,Alsa-Nature,2,3,2,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-27,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,28%,3.72,2.2%,Delicate,€ 0.61,296,31%,1.2,Alsa Nature,Alsa-Nature,Alsa-Nature,2,4,2,3,–,N,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-28,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,28%,3.65,3.9%,Adult,€ 0.62,288,30%,1.2,Amanova,Amanova,Amanova,2,3,2,3,Kalkoen,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-29,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,28%,3.67,3.1%,Adult,€ 0.48,245,30%,1.2,Amanova,Amanova,Amanova,2,3,2,3,Kip,N,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-30,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,29%,3.64,3.9%,Adult,€ 0.69,247,30%,1.4,Amanova,Amanova,Amanova,2,3,2,3,Konijn,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-31,https://leden.catmoneo.nl/adults-brok2508ldhn/,,40%,30%,3.60,3.9%,Adult,€ 0.70,291,30%,1.3,Amanova,Amanova,Amanova,2,3,2,3,Lam,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-32,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,28%,3.67,3.1%,Adult,€ 0.58,272,30%,1.1,Amanova,Amanova,Amanova,2,3,3,3,Vis,G,N,N,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2024/03/Bevat-glutenvrije-granen.jpg,
1773260605-33,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,29%,3.67,3.1%,Adult,€ 0.55,300,30%,1.1,Amanova,Amanova,Amanova,2,3,2,3,Zalm,N,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-34,https://leden.catmoneo.nl/adults-brok2508ldhn/,,32%,28%,3.29,6.4%,Sterilised,€ 0.65,273,39%,1.2,Amanova,Amanova,Amanova,3,2,2,3,Kip,N,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-35,https://leden.catmoneo.nl/adults-brok2508ldhn/,,29%,31%,3.25,6.1%,Sterilised,€ 0.70,308,40%,1.3,Amanova,Amanova,Amanova,4,3,2,3,Lam,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-36,https://leden.catmoneo.nl/adults-brok2508ldhn/,,30%,30%,3.24,6.7%,Sterilised,€ 0.70,309,40%,1.1,Amanova,Amanova,Amanova,3,2,3,2,Vis,N,N,N,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-37,https://leden.catmoneo.nl/adults-brok2508ldhn/,,32%,30%,3.32,5.6%,Sterilised,€ 0.68,301,38%,1.4,Amanova,Amanova,Amanova,3,3,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-38,https://leden.catmoneo.nl/adults-brok2508ldhn/,,32%,35%,3.47,3.9%,Indoor and outdoor cats,€ 0.67,NB,33%,NB,Vega-Life,Ami,Ami,4,4,3,5,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-39,https://leden.catmoneo.nl/adults-brok2508ldhn/,,38%,30%,3.59,2.8%,Carny – Adult,€ 0.58,321,32%,1.1,Zooplus,Animonda,Animonda,2,3,2,3,Kip en forel,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-40,https://leden.catmoneo.nl/adults-brok2508ldhn/,,38%,30%,3.59,2.8%,Carny – Adult,€ 0.57,321,32%,1.1,Zooplus,Animonda,Animonda,2,3,2,3,Kip en rund,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-41,https://leden.catmoneo.nl/adults-brok2508ldhn/,,45%,23%,3.78,2.8%,Carny – Adult – Large Breed,€ 0.53,305,32%,1.2,Zooplus,Animonda,Animonda,2,4,2,3,Kip en Zalm,N,N,Y,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-42,https://leden.catmoneo.nl/adults-brok2508ldhn/,,29%,30%,3.18,6.9%,Carny – Adult – Sterilised,€ 0.63,378,41%,1.3,Zooplus,Animonda,Animonda,4,3,2,4,Kip en Kalkoen,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-43,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,26%,3.63,2.2%,Adult,€ 0.41,386,36%,NB,Zooplus,Applaws,Applaws,3,4,2,4,Kip,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-44,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,25%,3.53,3.3%,Adult,€ 0.56,368,36%,1.6,Zooplus,Applaws,Applaws,3,3,2,3,Kip met eend,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-45,https://leden.catmoneo.nl/adults-brok2508ldhn/,,38%,27%,3.57,3.3%,Adult,€ 0.56,421,35%,NB,Zooplus,Applaws,Applaws,3,4,2,4,Kip met lam,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-46,https://leden.catmoneo.nl/adults-brok2508ldhn/,,38%,27%,3.62,1.7%,Adult,€ 0.58,332,35%,NB,Zooplus,Applaws,Applaws,3,4,2,4,Kip met zalm,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-47,https://leden.catmoneo.nl/adults-brok2508ldhn/,,36%,34%,3.44,3.9%,Adult,€ 0.48,290,30%,1.4,Zooplus,Applaws,Applaws,3,3,3,4,Oceaanvis met zalm,J,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-48,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,27%,3.61,5.0%,Adult,€ 0.33,332,31%,1.3,Bol.com,Avalon,Avalon,2,4,1,3,Kip,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-49,https://leden.catmoneo.nl/adults-brok2508ldhn/,,26%,42%,3.28,3.3%,Optimal Cat,€ 0.23,305,32%,1.6,Bol.com,Avalon,Avalon,3,4,3,4,–,J,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-50,https://leden.catmoneo.nl/adults-brok2508ldhn/,,30%,42%,3.55,3.8%,Adult original,€ 0.61,NB,28%,NB,Vega-Life,Benevo,Benevo,5,5,3,5,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-51,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,27%,3.61,5.0%,Adult,€ 0.63,332,31%,1.3,PetsPlace,Biofood,Biofood,2,4,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-52,https://leden.catmoneo.nl/adults-brok2508ldhn/,,26%,41%,3.25,3.3%,Kat 3-mix,€ 0.29,308,32%,1.5,PetsPlace,Biofood,Biofood,3,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-53,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,27%,3.65,5.0%,Sensitieve,€ 0.47,246,31%,1.2,Brekz,Biofood,Biofood,2,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-54,https://leden.catmoneo.nl/adults-brok2508ldhn/,,45%,25%,3.80,4.4%,Active & Sterilised,€ 0.64,263,30%,1.2,Zooplus,Bozita,Bozita,2,3,1,3,Lam,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-55,https://leden.catmoneo.nl/adults-brok2508ldhn/,,26%,38%,3.28,4.9%,Diet & Stomach,€ 0.73,335,36%,1.1,Medpets,Bozita,Bozita,4,3,2,4,Eland,J,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-56,https://leden.catmoneo.nl/adults-brok2508ldhn/,,36%,35%,3.57,4.4%,Hair & Skin,€ 0.64,308,29%,1.1,Zooplus,Bozita,Bozita,2,3,2,3,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-57,https://leden.catmoneo.nl/adults-brok2508ldhn/,,34%,34%,3.52,3.8%,Indoor & Sterilised,€ 0.59,313,32%,1.1,Zooplus,Bozita,Bozita,2,3,2,4,Kip,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-58,https://leden.catmoneo.nl/adults-brok2508ldhn/,,34%,33%,3.48,4.9%,Indoor & Sterilised,€ 0.60,258,33%,1.3,Zooplus,Bozita,Bozita,2,3,2,4,Rendier,J,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-59,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,29%,3.70,4.4%,Large,€ 0.62,297,29%,1.1,Zooplus,Bozita,Bozita,2,4,1,3,Zalm,N,N,Y,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-60,https://leden.catmoneo.nl/adults-brok2508ldhn/,,44%,29%,3.89,1.6%,Outdoor & Active,€ 0.54,309,27%,1.1,Zooplus,Bozita,Bozita,4,4,2,4,Eland,J,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-61,https://leden.catmoneo.nl/adults-brok2508ldhn/,,28%,39%,3.35,2.8%,Delicious,€ 0.30,NB,33%,NB,Zooplus,Brekkies,Brekkies,4,5,3,5,"Kip, kalkoen, groenten en granen",N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
